family,accuracy,sensitivity,specificity,precision,balanced_accuracy,f_score
Airpush,0.9858998144712431,0.9842873176206509,0.9890470974808324,0.9943310657596371,0.9866672075507417,0.9892836999435983
DroidKungFu,0.9910946196660483,0.9646017699115044,0.9949066213921901,0.9646017699115044,0.9797541956518472,0.9646017699115044
Fusob,0.9996289424860854,1.0,0.9996212121212121,0.9821428571428571,0.999810606060606,0.9909909909909909
Genpua,0.9903525046382189,0.9387755102040817,0.9922988063149788,0.8214285714285714,0.9655371582595302,0.8761904761904763
GinMaster,0.9966604823747681,0.9753086419753086,0.9980260560600079,0.9693251533742331,0.9866673490176583,0.9723076923076923
Jisut,0.9996289424860854,1.0,0.9996125532739248,0.991304347826087,0.9998062766369624,0.9956331877729258
Opfake,0.9992578849721707,0.978021978021978,1.0,1.0,0.989010989010989,0.9888888888888888
SmsPay,0.9966604823747681,0.9444444444444444,0.9977281332828474,0.8947368421052632,0.9710862888636459,0.918918918918919
