Method,accuracy_avg,accuracy_std,sensitivity_avg,sensitivity_std,precision_avg,precision_std,f_score_avg,f_score_std,auc_avg,auc_std
RandomForest,0.9500914015388932,0.002633726533375078,0.8642291002062364,0.011344325424640624,0.932727671474025,0.007669479932365662,0.8933565780504101,0.009984789486223606,0.992981894218388,0.0011584757297902416
LinearSVM,0.9231014877764722,0.0010709840010778302,0.8092006070438335,0.00761208120269835,0.8907772432520936,0.015456785500645272,0.8444404808343945,0.009438186418518573,0.9801503216385582,0.004890575464598583
DecisionTree,0.9224591927431499,0.0014834170593096211,0.8314810939500399,0.002132434133101238,0.8423124958785152,0.008714687930107387,0.8357912188384913,0.0036564721806998436,0.909854875088364,0.002259716464045203
GaussianNB,0.8596981560864672,0.001300859656015991,0.8489052857860998,0.008071256678433102,0.7414471031177744,0.007364775998076857,0.7819159499742933,0.006976980139326551,0.9250903161942498,0.0068784479987710895
MarkovPruning,0.8288541280436328,0.010087077542556522,0.7122416612802827,0.011655163801411733,0.7512536777213619,0.004851293686790397,0.709234169973812,0.006707608997101313,0.9420725606234205,0.0047419069047703495
GAME-Mal,0.9392740617544636,0.0018851537188773351,0.8888201206982395,0.012767601019018313,0.8798415036133975,0.005905321792206992,0.8835511105243832,0.005832138509616819,0.9847802964074225,0.001459725275557407
BiLSTM,0.9477351728151097,0.004028560959082028,0.8937273880058596,0.0021092936100877524,0.8958345052726884,0.0051713579004020235,0.8939880682739815,0.003167784943710612,0.9918405213928025,0.0012658222044890212
PlainTransformer,0.9385255146687014,0.009002751615838018,0.8866401988766747,0.014836373421401091,0.8864626663040563,0.009203706095108795,0.884494840665269,0.012239665840794993,0.9834673482862896,0.0020799248306525076
