max_seq_len,truncation,fold,accuracy,sensitivity,precision,f_score,auc
256,head,1,0.9450834879406308,0.8932641597412967,0.8888492553090368,0.8898158631023438,0.985635226810188
256,head,2,0.9376623376623376,0.8746926537840768,0.8754736793004491,0.8737248523080318,0.9856826718073305
256,head,3,0.9402597402597402,0.8824967474852696,0.8774612175997021,0.8796611076520204,0.9882609232568568
256,tail,1,0.9369202226345084,0.8665674751857599,0.8505266036909405,0.8581522049825675,0.9831681972404966
256,tail,2,0.9217068645640074,0.8687426359787787,0.844977011293093,0.8557695551783463,0.9776333115401614
256,tail,3,0.9335807050092765,0.864059219171003,0.8607969835631839,0.8621569138074029,0.9820492547531584
512,head,1,0.9484230055658627,0.8904777011806596,0.8984206540595663,0.8939825416400003,0.9812508135078335
512,head,2,0.9369202226345084,0.875206295697285,0.865967063065709,0.8702039296161328,0.9849455365080991
512,head,3,0.948051948051948,0.8972599727415417,0.9020885667952293,0.8981922647271386,0.9841154430974618
512,tail,1,0.939517625231911,0.8903739343951204,0.8803162144956282,0.8850518696355274,0.9785676834460995
512,tail,2,0.9324675324675324,0.8570065756428416,0.8520789105041977,0.8542645239511115,0.9775892694583395
512,tail,3,0.9335807050092765,0.8694525251595472,0.8733618497382489,0.8697494369159569,0.9852024289777628
768,head,1,0.950278293135436,0.8894575583428681,0.8853900377052866,0.8870444185344459,0.9858484323530052
768,head,2,0.9499072356215214,0.8809218953334168,0.9037778930093354,0.8906680771064841,0.9848306704763024
768,head,3,0.9376623376623376,0.8963294487073514,0.8706950715327662,0.8825056489824619,0.9820974959899708
