min_support,min_confidence,class_weights,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,f_score_mean,f_score_std,auc_mean,auc_std,n_rules_mean,n_rules_std
0.0001,0.1,inverse,0.11684629044081114,0.005693736966483048,0.44657006248755876,0.01520454735839894,0.5143534916285577,0.053627516729726515,0.3045900235590013,0.010727081139082953,0.7804323198802915,0.007684781173718023,5334.0,218.55662881733878
0.0001,0.1,prior,0.694976645193292,0.0031018904908963214,0.2783187144042788,0.00905040771557745,0.5675164870839757,0.006265426765850656,0.29687426690526103,0.009206600853612964,0.8806568511518303,0.0017969140421082717,5334.0,218.55662881733878
0.0001,0.1,uniform,0.805291290277029,0.00514159879164176,0.7263260387344866,0.009219253883782716,0.7602846619560242,0.009745639914333708,0.702427338822337,0.00475308971013361,0.9475339674885223,0.004896041622599265,5334.0,218.55662881733878
0.0001,0.2,inverse,0.11684629044081114,0.005693736966483048,0.44657006248755876,0.01520454735839894,0.5143534916285577,0.053627516729726515,0.3045900235590013,0.010727081139082953,0.7804323198802915,0.007684781173718023,5334.0,218.55662881733878
0.0001,0.2,prior,0.694976645193292,0.0031018904908963214,0.2783187144042788,0.00905040771557745,0.5675164870839757,0.006265426765850656,0.29687426690526103,0.009206600853612964,0.8806568511518303,0.0017969140421082717,5334.0,218.55662881733878
0.0001,0.2,uniform,0.805291290277029,0.00514159879164176,0.7263260387344866,0.009219253883782716,0.7602846619560242,0.009745639914333708,0.702427338822337,0.00475308971013361,0.9475339674885223,0.004896041622599265,5334.0,218.55662881733878
0.0001,0.3,inverse,0.13869419668355965,0.012685899061996684,0.5005226176100158,0.03245187958608496,0.556361669935325,0.007319054444552344,0.31325248063867717,0.014494417477454355,0.792731355995849,0.006595979661216178,5278.0,218.830985008979
0.0001,0.3,prior,0.7031162474527722,0.003581929511470897,0.2910155815868552,0.010695547703373413,0.6276200556727102,0.0681910361912745,0.31393678714685286,0.010718499992610063,0.895215548790281,0.0008425561155117078,5278.0,218.830985008979
0.0001,0.3,uniform,0.8358154955130529,0.012185315013779325,0.7220982742453893,0.012523310909729562,0.757740521638377,0.006141456868435342,0.7169017760814685,0.004616751254257445,0.9462231136668929,0.005961669066762869,5278.0,218.830985008979
0.0001,0.4,inverse,0.17949990517141953,0.008524844366524962,0.531211918349495,0.015521151187351584,0.5540173358877559,0.023589462891319933,0.33036504481001394,0.015143597566954657,0.809225968468002,0.004748046359068811,5022.333333333333,235.992231510559
0.0001,0.4,prior,0.740066121257815,0.010845201530889963,0.34211844090949306,0.015345538888998802,0.6860990009479363,0.00438534199180043,0.37802095903331184,0.015138443279094315,0.90417617263221,0.0015912801207060702,5022.333333333333,235.992231510559
0.0001,0.4,uniform,0.8210362066255587,0.013850670707082709,0.7349285064424591,0.007700539831947086,0.7233447087500364,0.012619761795194088,0.6964616233431022,0.003096990117210025,0.9426055847342467,0.005590526614582606,5022.333333333333,235.992231510559
0.0001,0.5,inverse,0.19888570912647327,0.008067885473181002,0.5627573115270205,0.010587313595709578,0.5424983929062278,0.013316199555121196,0.35071815318279725,0.012018616924963,0.8599329755274079,0.004571539204668265,4578.666666666667,244.95373712873493
0.0001,0.5,prior,0.7825855225797999,0.0015617465489259092,0.39218327264625624,0.008695917343559593,0.7630035171731667,0.06985336510763251,0.44528190537881335,0.007373279466634592,0.9253106328050696,0.002818633425967463,4578.666666666667,244.95373712873493
0.0001,0.5,uniform,0.8134326473469606,0.017923040149614263,0.760884592574517,0.004264571287129605,0.7305659960687935,0.016939692498067246,0.7106394212927966,0.003577676379763654,0.9468558075933634,0.005559724843040065,4578.666666666667,244.95373712873493
0.0001,0.6,inverse,0.2449391266576765,0.020136062982609216,0.592553442143548,0.01865029288049382,0.5598475565734068,0.01223438378850817,0.3976196181423348,0.016491830710633953,0.8783834318820517,0.0029159794333592478,4070.3333333333335,233.13157944245424
0.0001,0.6,prior,0.8085031095241201,0.008769091348750936,0.4511129869786649,0.02805383192701047,0.9072830828271595,0.043835935238068655,0.5227491131921386,0.03064508985832518,0.9341286755414022,0.005274223821272055,4070.3333333333335,233.13157944245424
0.0001,0.6,uniform,0.7884803781912432,0.04422885797843549,0.7504887069060272,0.014923170517263395,0.724593309506215,0.012263351549927989,0.6967569332816339,0.016376396380022022,0.9478357036644551,0.00505846094135771,4070.3333333333335,233.13157944245424
