fold,min_support,min_confidence,class_weights,n_rules,accuracy,sensitivity,precision,f_score,auc
0,0.0001,0.1,uniform,5561,0.80051397365885,0.7338629694442624,0.7490330261194281,0.7065646633138987,0.9428491742892676
0,0.0001,0.2,uniform,5561,0.80051397365885,0.7338629694442624,0.7490330261194281,0.7065646633138987,0.9428491742892676
0,0.0001,0.3,uniform,5507,0.8265338901381304,0.7234758940092633,0.7514388673780487,0.7163583463223933,0.9402842104047832
0,0.0001,0.4,uniform,5274,0.805974943784131,0.7389574794460095,0.7147979650206668,0.6941517401953846,0.9377102332261948
0,0.0001,0.5,uniform,4852,0.7928043687761003,0.7645341566740058,0.7149287757131382,0.7068637807647249,0.9433047925304159
0,0.0001,0.6,uniform,4328,0.7471892065531641,0.7372344472620687,0.7106335102819854,0.6828827746753612,0.944569229519785
0,0.0001,0.7,uniform,3891,0.8262126566013491,0.7570346647595245,0.7166447085640465,0.7153249928138068,0.9421442456494636
0,0.0001,0.8,uniform,3485,0.7998715065852875,0.7373559969298882,0.707756707569503,0.7016437212148361,0.9400020505444076
0,0.0001,0.9,uniform,3022,0.8278188242852553,0.7049901751031041,0.7514163434342588,0.7113212617380431,0.9252991616276525
0,0.0005,0.1,uniform,2361,0.7963379376806938,0.7308995682800958,0.7459546777762803,0.7018333766881955,0.9391633367297381
0,0.0005,0.2,uniform,2361,0.7963379376806938,0.7308995682800958,0.7459546777762803,0.7018333766881955,0.9391633367297381
0,0.0005,0.3,uniform,2310,0.817860584645037,0.712641783455259,0.7445102634334204,0.7068487604717153,0.9362329490057244
0,0.0005,0.4,uniform,2136,0.7998715065852875,0.7326302615544745,0.7125865451380687,0.6880048533492735,0.9329246434986
0,0.0005,0.5,uniform,1863,0.7741728236427883,0.7554360937972873,0.7052870538688416,0.6941712636417805,0.9380472724021836
0,0.0005,0.6,uniform,1553,0.7292001284934148,0.7254098041703082,0.7046995915056264,0.6709661797096171,0.9356091290010183
0,0.0005,0.7,uniform,1330,0.8043687761002248,0.7270236452746278,0.7046510996345143,0.6899310981340229,0.9321895193297025
0,0.0005,0.8,uniform,1142,0.7825248955991005,0.7172186314390447,0.6874898296767644,0.6755715498338295,0.9300083028637071
0,0.0005,0.9,uniform,908,0.8127208480565371,0.6849283930026763,0.7432288837603583,0.6904591283159496,0.9130715794046481
0,0.001,0.1,uniform,1735,0.7783488596209445,0.7029723587153954,0.7380659356583312,0.6758231201121147,0.9374585829245674
0,0.001,0.2,uniform,1735,0.7783488596209445,0.7029723587153954,0.7380659356583312,0.6758231201121147,0.9374585829245674
0,0.001,0.3,uniform,1688,0.8001927401220688,0.6802389649679317,0.7356266393594625,0.6782923484206624,0.9342655753913229
0,0.001,0.4,uniform,1537,0.7940893029232252,0.7292348564003959,0.7088468006579232,0.6830741504263529,0.9299111231218208
0,0.001,0.5,uniform,1320,0.7642145840025699,0.7497107452042882,0.6999766475609608,0.688358095524416,0.935399600464763
0,0.001,0.6,uniform,1085,0.7150658528750402,0.714176704919904,0.6994849294383447,0.6607121504700062,0.9313680072911656
0,0.001,0.7,uniform,927,0.7828461291358818,0.7197060398504953,0.692311989699723,0.67611573763775,0.9282260529487989
0,0.001,0.8,uniform,799,0.7638933504657887,0.7086331965038164,0.6735377483912823,0.6601754239059286,0.9261703797822869
0,0.001,0.9,uniform,627,0.7995502730485062,0.6668487298164595,0.727852995500488,0.667895785184323,0.9080017740123392
0,0.005,0.1,uniform,629,0.751044008994539,0.6621948830682205,0.7123921590784515,0.6358862621651404,0.928343755753364
0,0.005,0.2,uniform,629,0.751044008994539,0.6621948830682205,0.7123921590784515,0.6358862621651404,0.928343755753364
0,0.005,0.3,uniform,597,0.768390619980726,0.632528995312537,0.7004022455083605,0.6290431219141884,0.9248198161006306
0,0.005,0.4,uniform,515,0.7157083199486026,0.6419155767779892,0.6419146944022709,0.5923740853578325,0.9180486746811964
0,0.005,0.5,uniform,410,0.67876646321876,0.6693530314813876,0.6624821645914933,0.6100495512726758,0.9193041509599849
0,0.005,0.6,uniform,318,0.6141985223257308,0.6141300010440524,0.680929444146104,0.579729423500243,0.9081988393060658
0,0.005,0.7,uniform,268,0.6929007388371345,0.6238380255401013,0.6419963346313315,0.5856183019555534,0.8985966234565017
0,0.005,0.8,uniform,234,0.6954706071313845,0.6175341180354549,0.6433451112606375,0.5890657649111354,0.8866164136347889
0,0.005,0.9,uniform,179,0.7401220687439769,0.5848658195068362,0.7246126820330433,0.5993724162406063,0.850952938160572
0,0.01,0.1,uniform,367,0.7356247992290396,0.6341976188656029,0.6992573786855751,0.6140394012369034,0.9235958615174109
0,0.01,0.2,uniform,367,0.7356247992290396,0.6341976188656029,0.6992573786855751,0.6140394012369034,0.9235958615174109
0,0.01,0.3,uniform,341,0.7552200449726951,0.6104778756711985,0.6977482353401445,0.6158509523974165,0.9191448195287892
0,0.01,0.4,uniform,288,0.6806938644394475,0.6132363933540831,0.626871654767239,0.5686074235054412,0.9091041143082278
0,0.01,0.5,uniform,226,0.6504979119820109,0.638486148436443,0.6468581561718931,0.5868116324216127,0.9084338464864126
0,0.01,0.6,uniform,167,0.6019916479280437,0.588169289435922,0.6785336102710182,0.5608187106377829,0.89065463268526
0,0.01,0.7,uniform,138,0.68133633151301,0.5820128424351367,0.6233915824677592,0.5605126172895651,0.8785185397724746
0,0.01,0.8,uniform,122,0.6916158046900096,0.5884320873771518,0.6325165777784327,0.5734769293776747,0.8635157058301745
0,0.01,0.9,uniform,89,0.7176357211692901,0.5496427913035125,0.6355118641838043,0.5514982625565679,0.7685940612579191
0,0.0001,0.1,prior,5561,0.6980404754256344,0.2886967138188564,0.5671280020941039,0.3053518228224237,0.8818648242156992
0,0.0001,0.2,prior,5561,0.6980404754256344,0.2886967138188564,0.5671280020941039,0.3053518228224237,0.8818648242156992
0,0.0001,0.3,prior,5507,0.7067137809187279,0.3032425610731151,0.677904509940664,0.324828700244024,0.8955064461031543
0,0.0001,0.4,prior,5274,0.7426919370382268,0.35363629824109893,0.6886496171652422,0.3869518113582773,0.9046945193630963
0,0.0001,0.5,prior,4852,0.7815611949887569,0.4016862833114424,0.6930900748547937,0.45374774415489993,0.9266965731137642
0,0.0001,0.6,prior,4328,0.8149694828140058,0.47430521994879754,0.8690126397846615,0.5489449867377689,0.9336723733520407
0,0.0001,0.7,prior,3891,0.8631545133311918,0.6426569805456932,0.8459308903858,0.6945654839081157,0.9393028221219306
0,0.0001,0.8,prior,3485,0.8548024413748795,0.6642135130426999,0.8177690208620454,0.7109143320259936,0.9402820845956638
0,0.0001,0.9,prior,3022,0.8467716029553486,0.6621947550225986,0.8145179656628406,0.7096883631113962,0.9309064281296439
0,0.0005,0.1,prior,2361,0.6980404754256344,0.2886967138188564,0.5671280020941039,0.3053518228224237,0.878014713281512
0,0.0005,0.2,prior,2361,0.6980404754256344,0.2886967138188564,0.5671280020941039,0.3053518228224237,0.878014713281512
0,0.0005,0.3,prior,2310,0.7067137809187279,0.3032425610731151,0.677904509940664,0.324828700244024,0.8919202960152636
0,0.0005,0.4,prior,2136,0.7275939608095086,0.32633211451005517,0.6856812544075963,0.3614015647583919,0.8985944338933185
0,0.0005,0.5,prior,1863,0.7786700931577256,0.3970230486462679,0.6924166614151122,0.4476608235179933,0.9200828695617236
0,0.0005,0.6,prior,1553,0.8127208480565371,0.46666141924023585,0.878578221905399,0.5383953992273623,0.9253088576175001
0,0.0005,0.7,prior,1330,0.8621908127208481,0.6414828021703107,0.8371470731271324,0.693465364493703,0.9314306327719339
0,0.0005,0.8,prior,1142,0.8503051718599421,0.6557572877079437,0.780769291361695,0.6879745195325686,0.9323228482640772
0,0.0005,0.9,prior,908,0.8348859620944427,0.6459852385392677,0.7927726116194049,0.6899832234122351,0.9215804515751085
0,0.001,0.1,prior,1735,0.6980404754256344,0.2886967138188564,0.5671280020941039,0.3053518228224237,0.8746023623561567
0,0.001,0.2,prior,1735,0.6980404754256344,0.2886967138188564,0.5671280020941039,0.3053518228224237,0.8746023623561567
0,0.001,0.3,prior,1688,0.7063925473819467,0.3029442317175065,0.6771184604988546,0.324284073952261,0.8886034910478059
0,0.001,0.4,prior,1537,0.7272727272727273,0.3260337851544466,0.6688502983738556,0.3608894352772265,0.896148290060115
0,0.001,0.5,prior,1320,0.7642145840025699,0.37031552362644127,0.6893247782800281,0.42359652630734423,0.9183143669813905
0,0.001,0.6,prior,1085,0.8046900096370061,0.45365994229194684,0.79027318156856,0.5220451600487097,0.9210446263672052
0,0.001,0.7,prior,927,0.8612271121105043,0.6359699248920657,0.8266351604046405,0.6847051138887241,0.9267929863404972
0,0.001,0.8,prior,799,0.8483777706392548,0.6482256993776704,0.7617212764000556,0.6749499044938314,0.9279451271829734
0,0.001,0.9,prior,627,0.8342434950208801,0.6389439154689509,0.7931267316994203,0.6832032399920204,0.9154949069637054
0,0.005,0.1,prior,629,0.6951493735946033,0.2827251719359184,0.5635082961752158,0.2957577149183363,0.8686993680497135
0,0.005,0.2,prior,629,0.6951493735946033,0.2827251719359184,0.5635082961752158,0.2957577149183363,0.8686993680497135
0,0.005,0.3,prior,597,0.7002891101831031,0.28791850307464495,0.6826223544973545,0.305028628882885,0.8850077703545569
0,0.005,0.4,prior,515,0.7205268230003212,0.3093317136555608,0.6499318851251841,0.3391786454662227,0.8900454558900632
0,0.005,0.5,prior,410,0.7500803083841953,0.3449446895059288,0.685476622454943,0.3928799818392984,0.9069985274191008
0,0.005,0.6,prior,318,0.7648570510761323,0.3733396170391181,0.7226252741059273,0.42959350633696103,0.892317915173764
0,0.005,0.7,prior,268,0.8079023450048185,0.5580247231343153,0.7361005684709978,0.601104810166905,0.8898544820023037
0,0.005,0.8,prior,234,0.7953742370703502,0.5657577651999226,0.7468405220140603,0.5999480942192623,0.884325670497805
0,0.005,0.9,prior,179,0.8014776742691937,0.5680594555262244,0.7854593425616152,0.6206142157963133,0.8601739955857792
0,0.01,0.1,prior,367,0.694828140057822,0.2824268425803098,0.5617430831906806,0.2951624456949549,0.862751411749628
0,0.01,0.2,prior,367,0.694828140057822,0.2824268425803098,0.5617430831906806,0.2951624456949549,0.862751411749628
0,0.01,0.3,prior,341,0.6993254095727593,0.2870235150078192,0.6847185370560213,0.30336486933851503,0.883291725323748
0,0.01,0.4,prior,288,0.7128172181175715,0.30292451689898797,0.6465590443262577,0.3169632115395616,0.8840529227544243
0,0.01,0.5,prior,226,0.7375522004497269,0.3363974135055773,0.6765271396602119,0.38257805907634634,0.8995616564919972
0,0.01,0.6,prior,167,0.7500803083841953,0.3544586229494404,0.8030408549438399,0.40599968195808206,0.8817122492069749
0,0.01,0.7,prior,138,0.8021201413427562,0.5325864291908572,0.7677843450213643,0.5697068979319593,0.8728241303854651
0,0.01,0.8,prior,122,0.7834885962094442,0.5353031368104535,0.7388486918750863,0.5566331589558771,0.8646122346765912
0,0.01,0.9,prior,89,0.7854159974301317,0.5362529900461268,0.7528381059515169,0.5561970846998532,0.7723772063788464
0,0.0001,0.1,inverse,5561,0.1230324445872149,0.46401462050107145,0.5538915280509592,0.31470134228326035,0.7892302940092463
0,0.0001,0.2,inverse,5561,0.1230324445872149,0.46401462050107145,0.5538915280509592,0.31470134228326035,0.7892302940092463
0,0.0001,0.3,inverse,5507,0.1509797622871828,0.5309109048851651,0.5480299246197841,0.32782801362573843,0.7933529491006421
0,0.0001,0.4,inverse,5274,0.1888853196273691,0.549095706304261,0.5443377711515762,0.3348657309932189,0.8135140697940647
0,0.0001,0.5,inverse,4852,0.20301959524574364,0.5739970499957616,0.5435699959858507,0.35644300383115185,0.8639149704672755
0,0.0001,0.6,inverse,4328,0.24831352393189848,0.60403657508175,0.5458197021449416,0.4043914108827822,0.8788647957704472
0,0.0001,0.7,inverse,3891,0.3713459685191134,0.6747595048063525,0.5678104431998148,0.48132859629110325,0.8936968469371501
0,0.0001,0.8,inverse,3485,0.42402826855123676,0.6718792872729178,0.5744723662435113,0.5079667197933295,0.9042447766524943
0,0.0001,0.9,inverse,3022,0.6742691937038227,0.6886911858151192,0.6364956579492382,0.5987881431124533,0.8974933200680979
0,0.0005,0.1,inverse,2361,0.10986186957918406,0.43711328691003937,0.550903491062981,0.28923320681750586,0.7850050108698028
0,0.0005,0.2,inverse,2361,0.10986186957918406,0.43711328691003937,0.550903491062981,0.28923320681750586,0.7850050108698028
0,0.0005,0.3,inverse,2310,0.1493735946032766,0.5244315724360051,0.5466438450924496,0.32491298832208715,0.7845007847341416
0,0.0005,0.4,inverse,2136,0.1888853196273691,0.5472388632460764,0.5437361207727125,0.33443614960217516,0.8066363693775622
0,0.0005,0.5,inverse,1863,0.20301959524574364,0.5742460284226825,0.5433194676716443,0.35537368587516643,0.8564578360984962
0,0.0005,0.6,inverse,1553,0.24702858978477352,0.5993100717451069,0.5455110478340861,0.40389136295636413,0.8678195027300115
0,0.0005,0.7,inverse,1330,0.3568904593639576,0.637281580594527,0.5536874844266815,0.4604562963897084,0.881913963432627
0,0.0005,0.8,inverse,1142,0.4201734661098619,0.6515209948434001,0.55742832152635,0.4974648453789945,0.8925778807291652
0,0.0005,0.9,inverse,908,0.673305493093479,0.6626989233421456,0.6371147543139761,0.5894013525385137,0.8873244966900873
0,0.001,0.1,inverse,1735,0.1092194025056216,0.4337561914193232,0.5494516590897858,0.28748265173267173,0.784200590248747
0,0.001,0.2,inverse,1735,0.1092194025056216,0.4337561914193232,0.5494516590897858,0.28748265173267173,0.784200590248747
0,0.001,0.3,inverse,1688,0.13748795374237072,0.50090114954347,0.5442572800132919,0.305079859158629,0.7831216979277896
0,0.001,0.4,inverse,1537,0.18920655316415033,0.5479572540506742,0.5432227618360281,0.3339788275460629,0.8031408114264504
0,0.001,0.5,inverse,1320,0.2017346610986187,0.5703557450440853,0.5376109613579254,0.3527494769375287,0.8535011071143994
0,0.001,0.6,inverse,1085,0.24895599100546098,0.595680404647486,0.5433819069373063,0.40418489346336894,0.863508471146885
0,0.001,0.7,inverse,927,0.3565692258271764,0.6352968818290665,0.5500969715634106,0.4600180329488869,0.8773332726285248
0,0.001,0.8,inverse,799,0.4172823642788307,0.6418777661009937,0.5565165939285659,0.4944053686112382,0.8864750463705994
0,0.001,0.9,inverse,627,0.6742691937038227,0.6561469514711817,0.6409402944941001,0.5882395433180195,0.8777234673504718
0,0.005,0.1,inverse,629,0.10472213299068422,0.41745138095513823,0.5448473466540167,0.27734381572155864,0.7745599626742525
0,0.005,0.2,inverse,629,0.10472213299068422,0.41745138095513823,0.5448473466540167,0.27734381572155864,0.7745599626742525
0,0.005,0.3,inverse,597,0.13074204946996468,0.4839991458594831,0.5426919543800615,0.289983388606477,0.7728038413080578
0,0.005,0.4,inverse,515,0.1696113074204947,0.505115771767014,0.5376340983713939,0.2996236622918215,0.7914848505558132
0,0.005,0.5,inverse,410,0.18438805011243173,0.5254976698473599,0.5334671777352464,0.32258682716295617,0.8372486853001744
0,0.005,0.6,inverse,318,0.2322518470928365,0.5391055117024727,0.5669648054282878,0.38302082546369526,0.8382553502825472
0,0.005,0.7,inverse,268,0.30581432701574046,0.5602918970410957,0.5158929484799466,0.40251976105419807,0.8484400918570156
0,0.005,0.8,inverse,234,0.40957275939608095,0.5677321784957513,0.5402875533260184,0.4576708451011492,0.8649811536096739
0,0.005,0.9,inverse,179,0.7089624156761966,0.5809709241057303,0.6853032867650661,0.5685081637250851,0.8264471783621871
0,0.01,0.1,inverse,367,0.10407966591712174,0.4160007841381621,0.5426981476834544,0.2746329330521097,0.7677317666584385
0,0.01,0.2,inverse,367,0.10407966591712174,0.4160007841381621,0.5426981476834544,0.2746329330521097,0.7677317666584385
0,0.01,0.3,inverse,341,0.12849341471249598,0.4746462501919323,0.5351568272236431,0.28487687019981245,0.7675420179292108
0,0.01,0.4,inverse,288,0.17025377449405718,0.5003418334887786,0.5209156776355004,0.29527034327751933,0.7871041373674875
0,0.01,0.5,inverse,226,0.184709283649213,0.515685827338473,0.5309879604658673,0.32107555637942276,0.8275126784544704
0,0.01,0.6,inverse,167,0.22454224221008673,0.5136537854285037,0.5598553448092027,0.374975975572036,0.8236189713035913
0,0.01,0.7,inverse,138,0.29649855444908446,0.5245129311765327,0.4905698378947811,0.3775822153192866,0.8320681593626744
0,0.01,0.8,inverse,122,0.4053967234179248,0.535121861716583,0.5330627156909618,0.44336457806375645,0.8474710407652462
0,0.01,0.9,inverse,89,0.7179569547060713,0.5508447143804356,0.6354683059601907,0.5512766904683271,0.7795200996982314
1,0.0001,0.1,uniform,5316,0.8046272493573264,0.7160467632318006,0.7657431012904932,0.6972355737394371,0.9526169403195994
1,0.0001,0.2,uniform,5316,0.8046272493573264,0.7160467632318006,0.7657431012904932,0.6972355737394371,0.9526169403195994
1,0.0001,0.3,uniform,5256,0.8312982005141388,0.7089431120909795,0.7637081479545529,0.712580789662598,0.9522072906741759
1,0.0001,0.4,uniform,4987,0.8332262210796915,0.7260493388770146,0.7378392971022927,0.6999808148337453,0.948697521461065
1,0.0001,0.5,uniform,4505,0.8251928020565553,0.7561967562682483,0.7485611079338703,0.7139791961809188,0.9532630814560932
1,0.0001,0.6,uniform,4009,0.7830976863753213,0.7475793557598915,0.7295158332529328,0.6925666970674684,0.9536624639681426
1,0.0001,0.7,uniform,3589,0.837082262210797,0.760832956936729,0.7289522661033571,0.7203939941532513,0.9520639951871264
1,0.0001,0.8,uniform,3067,0.8386889460154242,0.7400300796442854,0.7384133876885319,0.718434821858333,0.9470953493656141
1,0.0001,0.9,uniform,2603,0.8406169665809768,0.6964193148963754,0.8060253321221539,0.719783297135859,0.9333885522940903
1,0.0005,0.1,uniform,2273,0.7998071979434447,0.7042017823099584,0.7610243923230288,0.6898311665828492,0.9491692486663257
1,0.0005,0.2,uniform,2273,0.7998071979434447,0.7042017823099584,0.7610243923230288,0.6898311665828492,0.9491692486663257
1,0.0005,0.3,uniform,2219,0.8264781491002571,0.6977712045591611,0.7535311506769025,0.7024757494071789,0.9478476639222185
1,0.0005,0.4,uniform,2028,0.8239074550128535,0.7170079550433208,0.7291669336778248,0.6903304338519634,0.9432101653411942
1,0.0005,0.5,uniform,1730,0.8116966580976864,0.7543198462501037,0.7450714361697299,0.7090068982996587,0.9460453305140315
1,0.0005,0.6,uniform,1454,0.7683161953727506,0.732323453671043,0.7201489967544382,0.6789047528555647,0.9427516740002835
1,0.0005,0.7,uniform,1222,0.8168380462724936,0.7264798651230437,0.7085389470071752,0.6874417434201232,0.939606399591405
1,0.0005,0.8,uniform,1033,0.8248714652956298,0.7098824254674253,0.7120893615600902,0.6844963562961116,0.9362306653140451
1,0.0005,0.9,uniform,805,0.8277634961439588,0.6687761041354953,0.7921248520382064,0.6931726977857007,0.9193196189225952
1,0.001,0.1,uniform,1600,0.7872750642673522,0.6787236686324263,0.7579664940929403,0.666172237606337,0.9467668892356352
1,0.001,0.2,uniform,1600,0.7872750642673522,0.6787236686324263,0.7579664940929403,0.666172237606337,0.9467668892356352
1,0.001,0.3,uniform,1551,0.8126606683804627,0.670090184408149,0.7482747219978563,0.6780767011396718,0.9448525706073222
1,0.001,0.4,uniform,1387,0.8223007712082262,0.7096815345965997,0.7257455058458815,0.6850596630400483,0.9392034673801134
1,0.001,0.5,uniform,1162,0.804305912596401,0.7512111325975783,0.7364750995354168,0.7016911766852375,0.9414953850268486
1,0.001,0.6,uniform,939,0.7525706940874036,0.7201245743838083,0.7126473887622735,0.6657477257802105,0.9376754932865523
1,0.001,0.7,uniform,772,0.8036632390745502,0.7160108100993743,0.6968377100260166,0.6747518364200619,0.9326694885932004
1,0.001,0.8,uniform,660,0.8094473007712082,0.6992954325731017,0.6932070222936006,0.6685963568626643,0.9315410732695812
1,0.001,0.9,uniform,500,0.8184447300771208,0.6579406788650228,0.7754970447524813,0.673542727787414,0.9096845959676692
1,0.005,0.1,uniform,586,0.7705655526992288,0.6423337242324959,0.7323069351305466,0.6301115818268781,0.937779079703555
1,0.005,0.2,uniform,586,0.7705655526992288,0.6423337242324959,0.7323069351305466,0.6301115818268781,0.937779079703555
1,0.005,0.3,uniform,553,0.7917737789203085,0.6281954996287878,0.7186016115822662,0.6348589835893174,0.9354094741815264
1,0.005,0.4,uniform,465,0.781491002570694,0.6453471948681582,0.6907496779249778,0.618292894954094,0.9272244429374449
1,0.005,0.5,uniform,364,0.7300771208226221,0.6678644216538501,0.6875760621837204,0.6133309742324972,0.9261293382285509
1,0.005,0.6,uniform,282,0.6420308483290489,0.630573367478902,0.6929518538738981,0.5809087146805387,0.9143004879344163
1,0.005,0.7,uniform,230,0.711439588688946,0.6266210093599034,0.6609618243765074,0.5867646051061943,0.8963793309841603
1,0.005,0.8,uniform,198,0.7230077120822622,0.6163386079522957,0.6583665509596721,0.5903012426156612,0.8907345337618418
1,0.005,0.9,uniform,146,0.7737789203084833,0.572469489179203,0.7581277639479027,0.5954145709942524,0.8472430239609913
1,0.01,0.1,uniform,352,0.7589974293059126,0.6259877910789112,0.7181313269392279,0.6131953476771879,0.9309419032779773
1,0.01,0.2,uniform,352,0.7589974293059126,0.6259877910789112,0.7181313269392279,0.6131953476771879,0.9309419032779773
1,0.01,0.3,uniform,326,0.7789203084832905,0.6012741753875939,0.7037617854236897,0.6132433390921745,0.9280975839229784
1,0.01,0.4,uniform,272,0.7699228791773779,0.6200002154132397,0.6907459230513937,0.6047621112137898,0.9182195380038005
1,0.01,0.5,uniform,205,0.6921593830334191,0.6384568934096381,0.6633812910222122,0.5834126909268154,0.9147361207211877
1,0.01,0.6,uniform,160,0.6188946015424165,0.5967390548243474,0.6915459704762001,0.5640663391597506,0.9027991069072071
1,0.01,0.7,uniform,126,0.6860539845758354,0.5782049771966975,0.648763763218376,0.5588369830220692,0.8796864979727019
1,0.01,0.8,uniform,110,0.6989074550128535,0.5598580372133761,0.628865703584628,0.5463118951064674,0.8607153857401257
1,0.01,0.9,uniform,82,0.7432519280205655,0.5173897832149954,0.7630852498154992,0.5128406893792028,0.7557936901671156
1,0.0001,0.1,prior,5316,0.6950514138817481,0.2741940106762428,0.5614543422733078,0.29819064722806843,0.8785918715047679
1,0.0001,0.2,prior,5316,0.6950514138817481,0.2741940106762428,0.5614543422733078,0.29819064722806843,0.8785918715047679
1,0.0001,0.3,prior,5256,0.7030848329048843,0.2864088997800836,0.5500028567800914,0.3135811070057265,0.8958741118705797
1,0.0001,0.4,prior,4987,0.7281491002570694,0.32469804639842204,0.6810352905284061,0.3605419871404526,0.9023903493650247
1,0.0001,0.5,prior,4505,0.7818123393316195,0.38462310754981865,0.832796649660974,0.441831565351651,0.9271679707665256
1,0.0001,0.6,prior,4009,0.7985218508997429,0.419930963999814,0.9551083568090496,0.4890489025324236,0.9396162256655218
1,0.0001,0.7,prior,3589,0.855719794344473,0.624281677964755,0.8715338514577544,0.6855753293855051,0.9466444564626691
1,0.0001,0.8,prior,3067,0.8560411311053985,0.6539658362490635,0.8390586573233189,0.7029113825265437,0.9443920203042346
